timestamp,node_id,distance_cm,level_pct,temp_c,hum_pct,gas_raw
2025-11-26T00:00:00Z,bin-001,80.00,0.00,21.5,44.0,150
2025-11-26T00:00:00Z,bin-002,78.20,2.25,21.6,45.0,160
2025-11-26T00:00:00Z,bin-003,76.40,4.50,21.7,46.0,170
2025-11-26T00:00:00Z,bin-004,74.00,7.50,21.8,47.0,180
2025-11-26T00:00:00Z,bin-005,72.20,9.75,21.9,48.0,190
2025-11-26T00:36:00Z,bin-001,79.10,1.13,21.5,44.3,151
2025-11-26T00:36:00Z,bin-002,77.30,3.38,21.6,45.3,161
2025-11-26T00:36:00Z,bin-003,75.50,5.63,21.7,46.3,171
2025-11-26T00:36:00Z,bin-004,73.10,8.63,21.8,47.3,181
2025-11-26T00:36:00Z,bin-005,71.30,10.88,21.9,48.3,191
2025-11-26T01:12:00Z,bin-001,78.20,2.25,21.5,44.6,152
2025-11-26T01:12:00Z,bin-002,76.40,4.50,21.6,45.6,162
2025-11-26T01:12:00Z,bin-003,74.60,6.75,21.7,46.6,172
2025-11-26T01:12:00Z,bin-004,72.20,9.75,21.8,47.6,182
2025-11-26T01:12:00Z,bin-005,70.40,12.00,21.9,48.6,192
2025-11-26T01:48:00Z,bin-001,77.30,3.38,21.6,44.9,153
2025-11-26T01:48:00Z,bin-002,75.50,5.63,21.7,45.9,163
2025-11-26T01:48:00Z,bin-003,73.70,7.87,21.8,46.9,173
2025-11-26T01:48:00Z,bin-004,71.30,10.88,21.9,47.9,183
2025-11-26T01:48:00Z,bin-005,69.50,13.12,22.0,48.9,193
2025-11-26T02:24:00Z,bin-001,76.40,4.50,21.6,44.0,154
2025-11-26T02:24:00Z,bin-002,74.60,6.75,21.7,45.0,164
2025-11-26T02:24:00Z,bin-003,72.80,9.00,21.8,46.0,174
2025-11-26T02:24:00Z,bin-004,70.40,12.00,21.9,47.0,184
2025-11-26T02:24:00Z,bin-005,68.60,14.25,22.0,48.0,194
2025-11-26T03:00:00Z,bin-001,75.50,5.63,21.5,44.3,155
2025-11-26T03:00:00Z,bin-002,73.70,7.87,21.6,45.3,165
2025-11-26T03:00:00Z,bin-003,71.90,10.12,21.7,46.3,175
2025-11-26T03:00:00Z,bin-004,69.50,13.12,21.8,47.3,185
2025-11-26T03:00:00Z,bin-005,67.70,15.37,21.9,48.3,195
2025-11-26T03:36:00Z,bin-001,74.60,6.75,21.5,44.6,156
2025-11-26T03:36:00Z,bin-002,72.80,9.00,21.6,45.6,166
2025-11-26T03:36:00Z,bin-003,71.00,11.25,21.7,46.6,176
2025-11-26T03:36:00Z,bin-004,68.60,14.25,21.8,47.6,186
2025-11-26T03:36:00Z,bin-005,66.80,16.50,21.9,48.6,196
2025-11-26T04:12:00Z,bin-001,73.70,7.87,21.5,44.9,157
2025-11-26T04:12:00Z,bin-002,71.90,10.12,21.6,45.9,167
2025-11-26T04:12:00Z,bin-003,70.10,12.37,21.7,46.9,177
2025-11-26T04:12:00Z,bin-004,67.70,15.37,21.8,47.9,187
2025-11-26T04:12:00Z,bin-005,65.90,17.62,21.9,48.9,197
2025-11-26T04:48:00Z,bin-001,72.80,9.00,21.6,44.0,158
2025-11-26T04:48:00Z,bin-002,71.00,11.25,21.7,45.0,168
2025-11-26T04:48:00Z,bin-003,69.20,13.50,21.8,46.0,178
2025-11-26T04:48:00Z,bin-004,66.80,16.50,21.9,47.0,188
2025-11-26T04:48:00Z,bin-005,65.00,18.75,22.0,48.0,198
2025-11-26T05:24:00Z,bin-001,71.90,10.12,21.6,44.3,159
2025-11-26T05:24:00Z,bin-002,70.10,12.37,21.7,45.3,169
2025-11-26T05:24:00Z,bin-003,68.30,14.62,21.8,46.3,179
2025-11-26T05:24:00Z,bin-004,65.90,17.62,21.9,47.3,189
2025-11-26T05:24:00Z,bin-005,64.10,19.87,22.0,48.3,199
2025-11-26T06:00:00Z,bin-001,71.00,11.25,21.5,44.6,160
2025-11-26T06:00:00Z,bin-002,69.20,13.50,21.6,45.6,170
2025-11-26T06:00:00Z,bin-003,67.40,15.75,21.7,46.6,180
2025-11-26T06:00:00Z,bin-004,65.00,18.75,21.8,47.6,190
2025-11-26T06:00:00Z,bin-005,63.20,21.00,21.9,48.6,200
2025-11-26T06:36:00Z,bin-001,70.10,12.38,21.5,44.9,161
2025-11-26T06:36:00Z,bin-002,68.30,14.62,21.6,45.9,171
2025-11-26T06:36:00Z,bin-003,66.50,16.87,21.7,46.9,181
2025-11-26T06:36:00Z,bin-004,64.10,19.88,21.8,47.9,191
2025-11-26T06:36:00Z,bin-005,62.30,22.13,21.9,48.9,201
2025-11-26T07:12:00Z,bin-001,69.20,13.50,21.5,44.0,162
2025-11-26T07:12:00Z,bin-002,67.40,15.75,21.6,45.0,172
2025-11-26T07:12:00Z,bin-003,65.60,18.00,21.7,46.0,182
2025-11-26T07:12:00Z,bin-004,63.20,21.00,21.8,47.0,192
